Date,Open,High,Low,Close,Adj Close,Volume
2009-12-10,112.230003,112.349998,112.029999,112.239998,93.974342,166900
2009-12-11,111.940002,112.029999,111.769997,111.989998,93.765053,62700
2009-12-14,111.949997,112.010002,111.769997,111.779999,93.589218,83800
2009-12-15,111.500000,111.650002,111.430000,111.580002,93.421745,41400
2009-12-16,111.730003,111.839996,111.500000,111.599998,93.438492,115800
2009-12-17,112.080002,112.230003,111.959999,112.230003,93.965981,44300
2009-12-18,112.029999,112.120003,111.900002,111.910004,93.698067,23100
2009-12-21,111.620003,111.620003,111.260002,111.309998,93.195694,64400
2009-12-22,111.160004,111.160004,110.980003,111.000000,92.936127,68400
2009-12-23,111.129997,111.180000,110.889999,110.910004,92.860802,43600
2009-12-24,110.860001,110.879997,110.669998,110.709999,92.693344,22200
2009-12-28,110.529999,110.570000,110.360001,110.370003,92.408630,77100
2009-12-29,110.260002,110.339996,110.120003,110.339996,92.562187,38500
2009-12-30,110.269997,110.400002,110.199997,110.370003,92.587341,35900
2009-12-31,109.970001,110.160004,109.739998,110.160004,92.411240,158800
2010-01-04,110.160004,110.330002,110.110001,110.239998,92.478302,29200
2010-01-05,110.599998,110.750000,110.510002,110.589996,92.771881,83000
2010-01-06,110.639999,110.639999,110.339996,110.440002,92.646019,52400
2010-01-07,110.449997,110.599998,110.349998,110.400002,92.612465,63800
2010-01-08,110.699997,110.699997,110.510002,110.559998,92.746773,123200
2010-01-11,110.620003,110.739998,110.570000,110.680000,92.847366,59200
2010-01-12,111.099998,111.169998,110.980003,111.160004,93.250076,46800
2010-01-13,110.930000,111.080002,110.760002,110.790001,92.939674,190900
2010-01-14,111.059998,111.199997,110.959999,111.059998,93.166161,169800
2010-01-15,111.309998,111.500000,111.309998,111.360001,93.417847,67300
2010-01-19,111.320000,111.320000,111.199997,111.250000,93.325470,27100
2010-01-20,111.449997,111.589996,111.419998,111.459999,93.501701,121200
2010-01-21,111.339996,111.790001,111.290001,111.769997,93.761757,71000
2010-01-22,111.699997,111.870003,111.690002,111.830002,93.812088,85100
2010-01-25,111.669998,111.800003,111.669998,111.730003,93.728226,71900
2010-01-26,111.970001,111.980003,111.739998,111.870003,93.845657,46300
2010-01-27,111.989998,112.070000,111.610001,111.629997,93.644363,86800
2010-01-28,111.519997,111.769997,111.519997,111.769997,93.761757,37600
2010-01-29,111.629997,112.040001,111.519997,112.040001,93.988304,69500
2010-02-01,111.739998,111.739998,111.529999,111.629997,93.832802,209100
2010-02-02,111.699997,111.750000,111.599998,111.680000,93.874771,75600
2010-02-03,111.580002,111.620003,111.440002,111.440002,93.673119,71900
2010-02-04,111.830002,112.080002,111.750000,112.080002,94.210999,111900
2010-02-05,112.129997,112.519997,112.070000,112.339996,94.429604,66100
2010-02-08,112.150002,112.320000,112.129997,112.220001,94.328690,140300
2010-02-09,112.169998,112.279999,111.919998,111.980003,94.126953,47000
2010-02-10,112.019997,112.019997,111.629997,111.669998,93.866417,143400
